nr of samples;Sample ID;[C] m/m in %;?13C (‰ v.s. V-PDB);Batch;;;;;;;
60;p24-8643;42,33;-26,86;AndreaChavez-Sumaco-SEQ1-HF1-C - repro;;;;;;;
61;p68-8640;44,83;-27,38;AndreaChavez-Sumaco-SEQ1-HF1-C - repro;;;;;;;
62;p62-8935;47,74;-27,15;AndreaChavez-Sumaco-SEQ1-HF1-C - repro;;;;;;;
63;p48-8667;43,68;-31,24;AndreaChavez-Sumaco-SEQ1-HF1-C - repro;;;;;;;
64;p24-8654;45,02;-31,48;AndreaChavez-Sumaco-SEQ1-HF1-C - repro;;;;;;;
65;p24-8649;44,57;-28,84;AndreaChavez-Sumaco-SEQ1-HF1-C - repro;;;;;;;
66;p50-8780;46,67;-32,24;AndreaChavez-Sumaco-SEQ1-HF1-C - repro;;;;;;;
67;jh 3847;44,95;-31,07;AndreaChavez-Sumaco-SEQ1-HF1-C - repro;;;;;;;
68;p50-8613;48,54;-32,07;AndreaChavez-Sumaco-SEQ1-HF1-C - repro;;;;;;;
69;p50-8615;47,67;-28,68;AndreaChavez-Sumaco-SEQ1-HF1-C - repro;;;;;;;
70;p09-0128;44,22;-29,88;AndreaChavez-Sumaco-SEQ1-HF1-C - repro;;;;;;;
71;p04-0129;44,52;-32,08;AndreaChavez-Sumaco-SEQ1-HF1-C - repro;;;;;;;
72;jh-3625;45,44;-27,14;AndreaChavez-Sumaco-SEQ1-HF1-C - repro;;;;;;;
73;jh-3939;43,99;-32,23;AndreaChavez-Sumaco-SEQ1-HF1-C - repro;;;;;;;
74;jh-3421;55,94;-32,85;AndreaChavez-Sumaco-SEQ1-HF1-C - repro;;;;;;;
75;p09-107;44,39;-30,41;AndreaChavez-Sumaco-SEQ1-HF1-C - repro;;;;;;;
76;jh-3842;42,68;-30,36;AndreaChavez-Sumaco-SEQ1-HF1-C - repro;;;;;;;
77;p24-8642;48,34;-32,36;AndreaChavez-Sumaco-SEQ1-HF1-C - repro;;;;;;;
78;jh-3698;44,36;-27,13;AndreaChavez-Sumaco-SEQ1-HF1-C - repro;;;;;;;
79;jh-3214;52,17;-31,97;AndreaChavez-Sumaco-SEQ1-HF1-C - repro;;;;;;;
80;p50-8786;44,11;-28,80;AndreaChavez-Sumaco-SEQ1-HF1-C - repro;;;;;;;
81;p24-8651;44,22;-29,18;AndreaChavez-Sumaco-SEQ1-HF1-C - repro;;;;;;;
82;p48-8686;44,84;-31,55;AndreaChavez-Sumaco-SEQ1-HF1-C - repro;;;;;;;
83;p48-8663;44,25;-32,70;AndreaChavez-Sumaco-SEQ1-HF1-C - repro;;;;;;;
84;p48-8672;45,14;-27,04;AndreaChavez-Sumaco-SEQ1-HF1-C - repro;;;;;;;
85;jh-3877;49,29;-26,63;AndreaChavez-Sumaco-SEQ1-HF1-C - repro;;;;;;;
86;jh-3623;45,43;-29,88;AndreaChavez-Sumaco-SEQ1-HF1-C - repro;;;;;;;
87;jh-3280;40,23;-31,27;AndreaChavez-Sumaco-SEQ1-HF1-C - repro;;;;;;;
88;jh-3268;43,88;-31,08;AndreaChavez-Sumaco-SEQ1-HF1-C - repro;;;;;;;
89;jh-3659;44,78;-32,39;AndreaChavez-Sumaco-SEQ1-HF1-C - repro;;;;;;;
90;jh-3269;50,66;-32,33;AndreaChavez-Sumaco-SEQ1-HF1-C - repro;;;;;;;
91;10-3725;44,90;-29,73;AndreaChavez-Sumaco-SEQ2-HF1-C - repro;;;;;;;
92;10-3723;44,00;-31,02;AndreaChavez-Sumaco-SEQ2-HF1-C - repro;;;;;;;
93;16-3740;44,44;-29,20;AndreaChavez-Sumaco-SEQ2-HF1-C - repro;;;;;;;
94;18-3766;44,58;-31,86;AndreaChavez-Sumaco-SEQ2-HF1-C - repro;;;;;;;
95;70-3643;46,09;-31,50;AndreaChavez-Sumaco-SEQ2-HF1-C - repro;;;;;;;
96;12-3665;42,47;-27,92;AndreaChavez-Sumaco-SEQ2-HF1-C - repro;;;;;;;
97;10-247;76,94;-30,57;AndreaChavez-Sumaco-SEQ2-HF1-C - repro;;;;;;;
98;12-3675;44,24;-30,92;AndreaChavez-Sumaco-SEQ2-HF1-C - repro;;;;;;;
99;46186;48,36;-24,99;AndreaChavez-Sumaco-SEQ2-HF1-C - repro;;;;;;;
100;46152;43,71;-26,97;AndreaChavez-Sumaco-SEQ2-HF1-C - repro;;;;;;;
101;18-3761;48,76;-32,88;AndreaChavez-Sumaco-SEQ2-HF1-C - repro;;;;;;;
102;11-274;44,79;-26,93;AndreaChavez-Sumaco-SEQ2-HF1-C - repro;;;;;;;
103;12-290;41,30;-28,84;AndreaChavez-Sumaco-SEQ2-HF1-C - repro;;;;;;;
104;10-3708;44,41;-29,20;AndreaChavez-Sumaco-SEQ2-HF1-C - repro;;;;;;;
105;12-309;44,37;-30,45;AndreaChavez-Sumaco-SEQ2-HF1-C - repro;;;;;;;
106;12-282;45,56;-27,35;AndreaChavez-Sumaco-SEQ2-HF1-C - repro;;;;;;;
107;18-3745;43,64;-28,60;AndreaChavez-Sumaco-SEQ2-HF1-C - repro;;;;;;;
108;11-271;43,55;-30,65;AndreaChavez-Sumaco-SEQ2-HF1-C - repro;;;;;;;
109;13-318;42,93;-29,00;AndreaChavez-Sumaco-SEQ2-HF1-C - repro;;;;;;;
110;10-256;39,89;-28,39;AndreaChavez-Sumaco-SEQ2-HF1-C - repro;;;;;;;
111;12-284;45,34;-29,05;AndreaChavez-Sumaco-SEQ2-HF1-C - repro;;;;;;;
112;16-3757;44,56;-31,15;AndreaChavez-Sumaco-SEQ2-HF1-C - repro;;;;;;;
113;13-331;45,01;-28,93;AndreaChavez-Sumaco-SEQ2-HF1-C - repro;;;;;;;
114;p9-231;45,79;-29,78;AndreaChavez-Sumaco-SEQ2-HF1-C - repro;;;;;;;
115;10-238;43,18;-29,18;AndreaChavez-Sumaco-SEQ2-HF1-C - repro;;;;;;;
116;46229;45,68;-25,80;AndreaChavez-Sumaco-SEQ2-HF1-C - repro;;;;;;;
117;12-279;45,32;-27,61;AndreaChavez-Sumaco-SEQ2-HF1-C - repro;;;;;;;
118;46097;49,74;-25,99;AndreaChavez-Sumaco-SEQ2-HF1-C - repro;;;;;;;
119;09-3728;41,34;-30,56;AndreaChavez-Sumaco-SEQ2-HF1-C - repro;;;;;;;
120;12-3661;42,63;-29,50;AndreaChavez-Sumaco-SEQ2-HF1-C - repro;;;;;;;
121;46143;49,40;-27,06;AndreaChavez-Sumaco-SEQ2-HF1-C - repro;;;;;;;
122;46093;43,50;-28,27;AndreaChavez-Sumaco-SEQ2-HF1-C - repro;;;;;;;
123;11-268;43,82;-29,33;AndreaChavez-Sumaco-SEQ2-HF1-C - repro;;;;;;;
124;46185;43,95;-26,70;AndreaChavez-Sumaco-SEQ2-HF1-C - repro;;;;;;;
125;13-334;41,97;-28,71;AndreaChavez-Sumaco-SEQ2-HF1-C - repro;;;;;;;
126;12-286;45,44;-30,32;AndreaChavez-Sumaco-SEQ2-HF1-C - repro;;;;;;;
127;p9-225;42,58;-28,69;AndreaChavez-Sumaco-SEQ2-HF1-C - repro;;;;;;;
128;11-3796;48,12;-27,75;AndreaChavez-Sumaco-SEQ2-HF1-C - repro;;;;;;;
129;11-273;45,40;-30,36;AndreaChavez-Sumaco-SEQ2-HF1-C - repro;;;;;;;
130;12-221;44,44;-30,20;AndreaChavez-Sumaco-SEQ2-HF1-C - repro;;;;;;;
131;46144;44,16;-26,66;AndreaChavez-Sumaco-SEQ2-HF1-C - repro;;;;;;;
132;46237;48,17;-27,69;AndreaChavez-Sumaco-SEQ2-HF1-C - repro;;;;;;;
133;12-305;43,52;-28,06;AndreaChavez-Sumaco-SEQ2-HF1-C - repro;;;;;;;
134;p8-3770;44,28;-30,25;AndreaChavez-Sumaco-SEQ2-HF1-C - repro;;;;;;;
135;jh-3591;47,29;-31,47;AndreaChavez-Sumaco-SEQ2-HF1-C - repro;;;;;;;
136;10-3723.2;44,25;-31,20;AndreaChavez-Sumaco-SEQ2-HF1-C - repro;;;;;;;
137;16-3746;44,79;-28,47;AndreaChavez-Sumaco-SEQ2-HF1-C - repro;;;;;;;
138;11-3705;44,49;-28,52;AndreaChavez-Sumaco-SEQ2-HF1-C - repro;;;;;;;
139;46145;43,63;-27,84;AndreaChavez-Sumaco-SEQ2-HF1-C - repro;;;;;;;
140;68-9865;50,74;-32,93;AndreaChavez-Sumaco-SEQ2-HF1-C - repro;;;;;;;
