nr of samples;Sample ID;[C] m/m in %;?13C (‰ v.s. V-PDB);Batch;;;;;;;
265;jh-3581;47,09;-27,91;AndreaChavez-Sumaco-SEQ3-HF1-C - repro;;;;;;;
266;jh-3609;44,13;-30,28;AndreaChavez-Sumaco-SEQ3-HF1-C - repro;;;;;;;
267;jh-3659;44,55;-31,83;AndreaChavez-Sumaco-SEQ3-HF1-C - repro;;;;;;;
268;jh-3893;51,14;-32,63;AndreaChavez-Sumaco-SEQ3-HF1-C - repro;;;;;;;
269;46094;51,02;-26,96;AndreaChavez-Sumaco-SEQ3-HF1-C - repro;;;;;;;
270;68-8869;44,54;-29,77;AndreaChavez-Sumaco-SEQ3-HF1-C - repro;;;;;;;
271;11-266;43,76;-29,6;AndreaChavez-Sumaco-SEQ3-HF1-C - repro;;;;;;;
272;3-nov;43,97;-27,46;AndreaChavez-Sumaco-SEQ3-HF1-C - repro;;;;;;;
273;jh3697;50,79;-30;AndreaChavez-Sumaco-SEQ3-HF1-C - repro;;;;;;;
274;jh3621;45,66;-31,13;AndreaChavez-Sumaco-SEQ3-HF1-C - repro;;;;;;;
275;11-259;43,79;-27,61;AndreaChavez-Sumaco-SEQ3-HF1-C - repro;;;;;;;
