numeroMuseo	numeroCampo	reino	filum	clase	orden	familia	genero	especie	continente	pais	provincia	canton	parroquia	localidad	localidadVerbatim	fuenteCoordenadas	altitudMax	altitudMin	datum	latitude	longitude	estadoDeterminacion	fechaInicioColeccion	fechaFinColeccion	fechaVerbatim	subespecie	variedad	forma	colector	fechaIdentificacion	tejidos	tipo	cita
QCA153616	3963	Plantae	Tracheophyta	Magnoliopsida	Rosales	Moraceae	Sorocea	steinbachii		Ecuador	Napo	Desconocido	Desconocido	Area of the Narupa reserve, Río Hollín watershed. 	Area of the Narupa reserve, Río Hollín watershed.  0°41''' 77°45''' -0.683333,-77.75 SW 1160 		1160			-0.683333	-77.75		2008-04-13T00:00:00	2008-04-13T00:00:00					J. Homeier		0			
QCA153618	3962	Plantae	Tracheophyta	Magnoliopsida	Rosales	Moraceae	Perebea	guianensis		Ecuador	Napo	Desconocido	Desconocido	Area of the Narupa reserve, Río Hollín watershed. 	Area of the Narupa reserve, Río Hollín watershed.  0°41''' 77°45''' -0.683333,-77.75 SW 1160 		1160			-0.683333	-77.75		2008-04-13T00:00:00	2008-04-13T00:00:00					J. Homeier		0			
QCA153647	3944	Plantae	Tracheophyta	Magnoliopsida	Myrtales	Melastomataceae	Mouriri	nervosa		Ecuador	Napo	Desconocido	Desconocido	Area of the Selva VIva Reserve.	Area of the Selva VIva Reserve. 1°4''' 77°31''' -1.06667,-77.5167 SW 500 		500			-1.06667	-77.5167		2008-04-11T00:00:00	2008-04-11T00:00:00					J. Homeier		0			
QCA153652	3943	Plantae	Tracheophyta	Magnoliopsida	Ericales	Myrsinaceae	Cybianthus	occigranatensis		Ecuador	Napo	Desconocido	Desconocido	Area of the Selva VIva Reserve.	Area of the Selva VIva Reserve. 1°4''' 77°31''' -1.06667,-77.5167 SW 500 		500			-1.06667	-77.5167		2008-04-11T00:00:00	2008-04-11T00:00:00					J. Homeier		0			
QCA153658	3942	Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Violaceae	Leonia	glycycarpa		Ecuador	Napo	Desconocido	Desconocido	Area of Selva Viva reserve.	Area of Selva Viva reserve. 1°4''' 77°31''' -1.06667,-77.5167 SW 500 		500			-1.06667	-77.5167		2008-04-11T00:00:00	2008-04-11T00:00:00					J. Homeier		0			
QCA153663	3941	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Inga	tessmannii		Ecuador	Napo	Desconocido	Desconocido	Area of the Selva VIva Reserve.	Area of the Selva VIva Reserve. 1°4''' 77°31''' -1.06667,-77.5167 SW 500 		500			-1.06667	-77.5167		2008-04-11T00:00:00	2008-04-11T00:00:00					J. Homeier		0			
QCA153666	3939	Plantae	Tracheophyta	Magnoliopsida	Laurales	Lauraceae	Indeterminado	Indeterminado		Ecuador	Napo	Desconocido	Desconocido	Area of the Selva Viva reserve.	Area of the Selva Viva reserve. 1°1''' 77°31''' -1.01667,-77.5167 SW 500 		500			-1.01667	-77.5167		2008-04-11T00:00:00	2008-04-11T00:00:00					J. Homeier		0			
QCA153683	3938	Plantae	Tracheophyta	Magnoliopsida	Sapindales	Meliaceae	Trichilia	septentrionalis		Ecuador	Napo	Desconocido	Desconocido	Area of the Selva VIva Reserve.	Area of the Selva VIva Reserve. 1°4''' 77°31''' -1.06667,-77.5167 SW 500 		500			-1.06667	-77.5167		2008-04-11T00:00:00	2008-04-11T00:00:00					J. Homeier		0			
QCA153686	3936	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Macrolobium	Indeterminado		Ecuador	Napo	Desconocido	Desconocido	Area of the Selva VIva Reserve.	Area of the Selva VIva Reserve. 1°4''' 77°31''' -1.06667,-77.5167 SW 500 		500			-1.06667	-77.5167		2008-04-11T00:00:00	2008-04-11T00:00:00					J. Homeier		0			
QCA153690	3935	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Zygia	Indeterminado		Ecuador	Napo	Desconocido	Desconocido	Area of the Selva VIva Reserve.	Area of the Selva VIva Reserve. 1°4''' 77°31''' -1.06667,-77.5167 SW 500 		500			-1.06667	-77.5167		2008-04-11T00:00:00	2008-04-11T00:00:00					J. Homeier		0			
QCA153692	3960	Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Euphorbiaceae	Alchornea	leptogyna		Ecuador	Napo	Desconocido	Desconocido	Area of the Narupa reserve, Río Hollín watershed.	Area of the Narupa reserve, Río Hollín watershed. 0°41''' 77°45''' -0.683333,-77.75 SW 1160 1160		1160	1160		-0.683333	-77.75		2008-04-13T00:00:00	2008-04-13T00:00:00					J. Homeier		0			
QCA153693	3932	Plantae	Tracheophyta	Magnoliopsida	Rosales	Moraceae	Pseudolmedia	laevigata		Ecuador	Napo	Desconocido	Desconocido	Area of the Selva Viva reserve.	Area of the Selva Viva reserve. 1°4'0'' 77°31'0'' -1.06667,-77.5167 SW 500 		500			-1.06667	-77.5167		2008-04-11T00:00:00	2008-04-11T00:00:00					J. Homeier		0			
QCA153697	3959	Plantae	Tracheophyta	Magnoliopsida	Laurales	Lauraceae	Aniba	coto		Ecuador	Napo	Desconocido	Desconocido	Area of the Narupa reserve, Río Hollín watershed.	Area of the Narupa reserve, Río Hollín watershed. 0°41''' 77°45''' -0.683333,-77.75 SW 1160 1160		1160	1160		-0.683333	-77.75		2008-04-13T00:00:00	2008-04-13T00:00:00					J. Homeier		0			
QCA153701	3958	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Inga	edulis		Ecuador	Napo	Desconocido	Desconocido	Area of the Narupa reserve, Río Hollín watershed.	Area of the Narupa reserve, Río Hollín watershed. 0°41''' 77°45''' -0.683333,-77.75 SW 1160 1160		1160	1160		-0.683333	-77.75		2008-04-13T00:00:00	2008-04-13T00:00:00					J. Homeier		0			
QCA153705	3957	Plantae	Tracheophyta	Magnoliopsida	Myrtales	Melastomataceae	Indeterminado	Indeterminado		Ecuador	Napo	Desconocido	Desconocido	Area of the Narupa reserve, Río Hollín watershed.	Area of the Narupa reserve, Río Hollín watershed. 0°41''' 77°45''' -0.683333,-77.75 SW 1160 1160		1160	1160		-0.683333	-77.75		2008-04-13T00:00:00	2008-04-13T00:00:00					J. Homeier		0			
QCA153707	3956	Plantae	Tracheophyta	Magnoliopsida	Rosales	Moraceae	Helicostylis	tovarensis		Ecuador	Napo	Desconocido	Desconocido	Area of the Narupa reserve, Río Hollín watershed.	Area of the Narupa reserve, Río Hollín watershed. 0°41''' 77°45''' -0.683333,-77.75 SW 1160 1160		1160	1160		-0.683333	-77.75		2008-04-13T00:00:00	2008-04-13T00:00:00					J. Homeier		0			
QCA153711	3948	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Bignoniaceae	Tabebuia	serratifolia		Ecuador	Napo	Desconocido	Desconocido	Area of the Selva VIva Reserve.	Area of the Selva VIva Reserve. 1°4''' 77°31''' -1.06667,-77.5167 SW 500 		500			-1.06667	-77.5167		2008-04-11T00:00:00	2008-04-11T00:00:00					J. Homeier		0			
QCA153714	3945	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Macrolobium	Indeterminado		Ecuador	Napo	Desconocido	Desconocido	Area of the Selva VIva Reserve.	Area of the Selva VIva Reserve. 1°4''' 77°31''' -1.06667,-77.5167 SW 500 		500			-1.06667	-77.5167		2008-04-11T00:00:00	2008-04-11T00:00:00					J. Homeier		0			
QCA153716	3947	Plantae	Tracheophyta	Magnoliopsida	Magnoliales	Annonaceae	Unonopsis	veneficiorum		Ecuador	Napo	Desconocido	Desconocido	Area of the Selva Viva reserve.	Area of the Selva Viva reserve. 1°4'0'' 77°31'0'' -1.06667,-77.5167 SW 500 		500			-1.06667	-77.5167		2008-04-11T00:00:00	2008-04-11T00:00:00					J. Homeier		0			
QCA153810	3704	Plantae	Tracheophyta	Magnoliopsida	Rosales	Moraceae	Brosimum	utile		Ecuador	Napo	Desconocido	Desconocido	Galeras, Cordillera Gallleras.	Galeras, Cordillera Gallleras. 0°50''' 77°34''' -0.833333,-77.5667 SW 1130 1130		1130	1130		-0.833333	-77.5667		2008-04-04T00:00:00	2008-04-04T00:00:00					J. Homeier		0			
QCA154095	2314	Plantae	Tracheophyta	Magnoliopsida	Caryophyllales	Nyctaginaceae	Neea	divaricata		Ecuador	Napo	Desconocido	Desconocido	Cordillera Galeras.	Cordillera Galeras. 0°49'7'' 77°32'3'' -0.818611,-77.5342 SW 1560 		1560			-0.818611	-77.5342		2006-04-14T00:00:00	2006-04-14T00:00:00					J. Homeier		0			
QCA154120	2251	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Verbenaceae	Aegiphila	quinduensis		Ecuador	Napo	Desconocido	Desconocido	Southern slope of sumaco voicano.	Southern slope of sumaco voicano. 0°37''' 77°35''' -0.616667,-77.5833 SW 1610 		1610			-0.616667	-77.5833		2006-04-07T00:00:00	2006-04-07T00:00:00					J. Homeier		0			
QCA154262	3710	Plantae	Tracheophyta	Magnoliopsida	Rosales	Moraceae	Pseudolmedia	laevis		Ecuador	Napo	Desconocido	Desconocido	Galeras, Cordilla Galleras.	Galeras, Cordilla Galleras. 0°50''' 77°34''' -0.833333,-77.5667 SW 1130 1130		1130	1130		-0.833333	-77.5667		2008-04-04T00:00:00	2008-04-04T00:00:00					J. Homeier		0			
QCA154279	3835	Plantae	Tracheophyta	Magnoliopsida	Rosales	Moraceae	Brosimum	guianense		Ecuador	Napo	Desconocido	Desconocido	Area of the biological station Jatun Sacha.	Area of the biological station Jatun Sacha. 1°4''' 77°37''' -1.06667,-77.6167 SW 430 430		430	430		-1.06667	-77.6167		2008-04-09T00:00:00	2008-04-09T00:00:00					J. Homeier		0			
QCA154525	2313	Plantae	Tracheophyta	Magnoliopsida	Oxalidales	Cunoniaceae	Weinmannia	sorbifolia		Ecuador	Napo	Desconocido	Desconocido	Cordillera Galeras.	Cordillera Galeras. 0°49'8'' 77°32'3'' -0.818889,-77.5342 SW 1570 		1570			-0.818889	-77.5342		2006-04-14T00:00:00	2006-04-14T00:00:00					J. Homeier	2006-01-01T00:00:00	0			
QCA155152	2213	Plantae	Tracheophyta	Magnoliopsida	Caryophyllales	Nyctaginaceae	Neea	Indeterminado		Ecuador	Napo	Desconocido	Desconocido	Coordillera de Guacamayos, close to road Cosanga, Tena.	Coordillera de Guacamayos, close to road Cosanga, Tena. 0°40'9'' 77°48'3'' -0.669167,-77.8008 SW 1480 1480		1480	1480		-0.669167	-77.8008		2006-03-31T00:00:00	2006-03-31T00:00:00					J. Homeier		0			
QCA155789	3706	Plantae	Tracheophyta	Magnoliopsida	Rosales	Moraceae	Sorocea	Indeterminado		Ecuador	Napo	Desconocido	Desconocido	Parque Nacional Sumaco Galeras, cordillera Galleras.	Parque Nacional Sumaco Galeras, cordillera Galleras. 0°50'0'' 77°34'0'' -0.833333,-77.5667 SW 1130 1130		1130	1130		-0.833333	-77.5667		2008-04-04T00:00:00	2008-04-04T00:00:00					J. Homeier		0			
QCA156532	2346	Plantae	Tracheophyta	Magnoliopsida	Santalales	Olacaceae	Heisteria	acuminata		Ecuador	Napo	Desconocido	Desconocido	Cordillera Galeras.	Cordillera Galeras. 0°49'66'' 77°33'0'' -0.835,-77.55 SW 1220 		1220			-0.835	-77.55		2006-04-16T00:00:00	2006-04-16T00:00:00					J. Homeier	2006-01-01T00:00:00	0			
QCA157389	2296	Plantae	Tracheophyta	Magnoliopsida	Ericales	Theaceae	Gordonia	fruticosa		Ecuador	Napo	Desconocido	Desconocido	Parque nacinal Sumaco- Galeras, Cordillera Galeras.	Parque nacinal Sumaco- Galeras, Cordillera Galeras. 0°49'8'' 77°23'3'' -0.818889,-77.3842 SW 1570 		1570			-0.818889	-77.3842		2006-04-14T00:00:00	2006-04-14T00:00:00					J. Homeier		0			
QCA157495	3735	Plantae	Tracheophyta	Magnoliopsida	Sapindales	Meliaceae	Guarea	macrophylla		Ecuador	Napo	Desconocido	Desconocido	Cordillera Galeras, Río Chiriyacu.	Cordillera Galeras, Río Chiriyacu. 0°50'0'' 77°34'0'' -0.833333,-77.5667 SW 1100 		1100			-0.833333	-77.5667		2008-04-05T00:00:00	2008-04-05T00:00:00					J. Homeier		0			
QCA157549	3732	Plantae	Tracheophyta	Magnoliopsida	Sapindales	Meliaceae	Indeterminado	Indeterminado		Ecuador	Napo	Desconocido	Desconocido	Cordillera Galleras, Río Chiriyacu.	Cordillera Galleras, Río Chiriyacu. 0°50''' 77°34''' -0.833333,-77.5667 SW 1100 		1100			-0.833333	-77.5667		2008-04-05T00:00:00	2008-04-05T00:00:00					J. Homeier		0			
QCA157846	3605	Plantae	Tracheophyta	Magnoliopsida	Laurales	Lauraceae	Licaria	cannella		Ecuador	Napo	Desconocido	Desconocido	Galeras, Cordillera Galleras.	Galeras, Cordillera Galleras. 0°50''' 77°32''' -0.833333,-77.5333 SW 1590 		1590			-0.833333	-77.5333		2008-04-02T00:00:00	2008-04-02T00:00:00					J. Homeier		0			
QCA157850	3917	Plantae	Tracheophyta	Magnoliopsida	Laurales	Lauraceae	Endlicheria	Indeterminado		Ecuador	Napo	Desconocido	Desconocido	Area of the Selva Viva reserve.	Area of the Selva Viva reserve. 1°4''' 77°31''' -1.06667,-77.5167 SW 510 		510			-1.06667	-77.5167		2008-04-11T00:00:00	2008-04-11T00:00:00					J. Homeier		0			
QCA158134	3685	Plantae	Tracheophyta	Magnoliopsida	Laurales	Lauraceae	Indeterminado	Indeterminado		Ecuador	Napo	Desconocido	Desconocido	Galeras, Cordillera Galleras.	Galeras, Cordillera Galleras. 0°50''' 77°34''' -0.833333,-77.5667 SW 1110 		1110			-0.833333	-77.5667		2008-04-04T00:00:00	2008-04-04T00:00:00					J. Homeier		0			
QCA158138	3683	Plantae	Tracheophyta	Magnoliopsida	Laurales	Lauraceae	Ocotea	floribunda		Ecuador	Napo	Desconocido	Desconocido	Galeras, Cordillera Galleras.	Galeras, Cordillera Galleras. 0°50''' 77°34''' -0.833333,-77.5667 SW 1110 		1110			-0.833333	-77.5667		2008-04-04T00:00:00	2008-04-04T00:00:00					J. Homeier		0			
QCA158654	3700	Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Calyptranthes	forsteri		Ecuador	Napo	Desconocido	Desconocido	Cordillera Galeras.	Cordillera Galeras. 0°50''' 77°34''' -0.833333,-77.5667 SW 1130 1130		1130	1130		-0.833333	-77.5667		2008-04-04T00:00:00	2008-04-04T00:00:00					J. Homeier		0			
QCA159228	2242	Plantae	Tracheophyta	Magnoliopsida	Solanales	Solanaceae	Solanum	anisophyllum		Ecuador	Napo	Desconocido	Desconocido	Southern slope of Sumaco volcano.	Southern slope of Sumaco volcano. 0°35''' 77°35''' -0.583333,-77.5833 SW 1920 1920		1920	1920		-0.583333	-77.5833		2006-04-06T00:00:00	2006-04-06T00:00:00					J. Homeier		0			
QCA159501	3600	Plantae	Tracheophyta	Magnoliopsida	Santalales	Olacaceae	Heisteria	nitida		Ecuador	Napo	Desconocido	Desconocido	Cordillera Galeras.	Cordillera Galeras. 0°49'8'' 77°32'3'' -0.818889,-77.5342 SW 1590 		1590			-0.818889	-77.5342		2008-04-02T00:00:00	2008-04-02T00:00:00					J. Homeier		0			
QCA160157	3559	Plantae	Tracheophyta	Magnoliopsida	Laurales	Lauraceae	Indeterminado	Indeterminado		Ecuador	Napo	Desconocido	Desconocido	Parque Nacional Sumaco Galeras, Rio Hollin watershed.	Parque Nacional Sumaco Galeras, Rio Hollin watershed. 0°38''' 77°47''' -0.633333,-77.7833 SW 1550 		1550			-0.633333	-77.7833		2008-03-29T00:00:00	2008-03-29T00:00:00					J. Homeier		0			
QCA160159	3557	Plantae	Tracheophyta	Magnoliopsida	Laurales	Lauraceae	Endlicheria	Indeterminado		Ecuador	Napo	Desconocido	Desconocido	Parque Nacional Sumaco Galeras, Rio Hollin watershed.	Parque Nacional Sumaco Galeras, Rio Hollin watershed. 0°38'0'' 77°47'0'' -0.633333,-77.7833 SW 1550 		1550			-0.633333	-77.7833		2008-03-29T00:00:00	2008-03-29T00:00:00					J. Homeier		0			
QCA160163	3555	Plantae	Tracheophyta	Magnoliopsida	Rosales	Moraceae	Pseudolmedia	Indeterminado		Ecuador	Napo	Desconocido	Desconocido	Parque Nacional Sumaco Galeras, Rio Hollin watershed.	Parque Nacional Sumaco Galeras, Rio Hollin watershed. 0°38'0'' 77°47'0'' -0.633333,-77.7833 SW 1550 		1550			-0.633333	-77.7833		2008-03-29T00:00:00	2008-03-29T00:00:00					J. Homeier		0			
QCA160167	3560	Plantae	Tracheophyta	Magnoliopsida	Rosales	Moraceae	Helicostylis	tovarensis		Ecuador	Napo	Desconocido	Desconocido	Parque Nacional Sumaco Galeras, rio Hollin watershed.	Parque Nacional Sumaco Galeras, rio Hollin watershed. 0°38'0'' 77°47'0'' -0.633333,-77.7833 SW 1550 1500		1550	1500		-0.633333	-77.7833		2008-03-29T00:00:00	2008-03-29T00:00:00					J. Homeier	2008-01-01T00:00:00	0			
QCA160175	3834	Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Indeterminado	Indeterminado		Ecuador	Napo	Desconocido	Desconocido	Area of the Biological Station Jatun Sacha.	Area of the Biological Station Jatun Sacha. 1°4''' 77°37''' -1.06667,-77.6167 SW 430 		430			-1.06667	-77.6167		2008-04-09T00:00:00	2008-04-09T00:00:00					J. Homeier		0			
QCA160177	3721	Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Indeterminado	Indeterminado		Ecuador	Napo	Desconocido	Desconocido	Coordillera Galleras. Río Chiriyacu.	Coordillera Galleras. Río Chiriyacu. 0°50''' 77°34''' -0.833333,-77.5667 SW 1100 		1100			-0.833333	-77.5667		2008-04-05T00:00:00	2008-04-05T00:00:00					J. Homeier		0			
QCA160179	3641	Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Siphoneugena	densiflora		Ecuador	Napo	Desconocido	Desconocido	Cordillera Galleras.	Cordillera Galleras. 0°49'7'' 77°32'2'' -0.818611,-77.5339 SW 1560 		1560			-0.818611	-77.5339		2008-04-03T00:00:00	2008-04-03T00:00:00					J. Homeier		0			
QCA160181	3622	Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Siphoneugena	densiflora		Ecuador	Napo	Desconocido	Desconocido	Cordillera Galleras	Cordillera Galleras 0°49'7'' 77°32'2'' -0.818611,-77.5339 SW 1560 		1560			-0.818611	-77.5339		2008-04-02T00:00:00	2008-04-02T00:00:00					J. Homeier		0			
QCA160477	2244	Plantae	Tracheophyta	Magnoliopsida	Picramniales	Simaroubaceae	Picramnia	magnifolia		Ecuador	Napo	Desconocido	Desconocido	Southern slope of Sumaco volcano.	Southern slope of Sumaco volcano. 0°35''' 77°35''' -0.583333,-77.5833 SW 1930 		1930			-0.583333	-77.5833		2008-03-19T00:00:00	2008-03-19T00:00:00					J. Homeier		0			
QCA160544	2384	Plantae	Tracheophyta	Magnoliopsida	Solanales	Solanaceae	Solanum	Indeterminado		Ecuador	Napo	Desconocido	Desconocido	Cordillera de Guacamayos, 6 km SE of Cosanga	Cordillera de Guacamayos, 6 km SE of Cosanga 0°38''' 77°50''' -0.633333,-77.8333 SW 2010 		2010			-0.633333	-77.8333		2006-10-09T00:00:00	2006-10-09T00:00:00					J. Homeier		0			
QCA160721	2316	Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Eugenia	Indeterminado		Ecuador	Napo	Desconocido	Desconocido	Cordillera Galeras.	Cordillera Galeras. 0°50''' 77°32''' -0.833333,-77.5333 SW 1560 1560		1560	1560		-0.833333	-77.5333		2006-04-14T00:00:00	2006-04-14T00:00:00					J. Homeier		0			
QCA160725	2226	Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Eugenia	Indeterminado		Ecuador	Napo	Desconocido	Desconocido	Cordillera de Guacamayos, 6 km SE of Cosanga.	Cordillera de Guacamayos, 6 km SE of Cosanga. 0°38''' 77°50''' -0.633333,-77.8333 SW 1990 1990		1990	1990		-0.633333	-77.8333		2006-04-01T00:00:00	2006-04-01T00:00:00					J. Homeier		0			
QCA160729	2301	Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Indeterminado	Indeterminado		Ecuador	Napo	Desconocido	Desconocido	Cordillera Galeras	Cordillera Galeras 0°50''' 77°32''' -0.833333,-77.5333 SW 1570 1570		1570	1570		-0.833333	-77.5333		2006-04-14T00:00:00	2006-04-14T00:00:00					J. Homeier		0			
QCA162029	2235	Plantae	Tracheophyta	Magnoliopsida	Ericales	Sapotaceae	Pouteria	baehniana		Ecuador	Napo	Desconocido	Desconocido	Cordillera de los Guacamayos. ca. 6 km of Cosanga, wet monatane tropical forest.	Cordillera de los Guacamayos. ca. 6 km of Cosanga, wet monatane tropical forest. 0°38''' 777°50''' -0.633333,-777.833 SW 1900 1900		1900	1900					2006-04-01T00:00:00						J. Homeier		0			
QCA162033	3635	Plantae	Tracheophyta	Magnoliopsida	Ericales	Sapotaceae	Chrysophyllum	cuneifolium		Ecuador	Napo	Desconocido	Desconocido	Cordillera Galeras.	Cordillera Galeras. 0°50''' 77°32''' -0.833333,-77.5333 SW 1560 1560		1560	1560		-0.833333	-77.5333		2008-04-03T00:00:00	2008-04-03T00:00:00					J. Homeier		0			
QCA162035	3636	Plantae	Tracheophyta	Magnoliopsida	Ericales	Sapotaceae	Pouteria	baehniana		Ecuador	Napo	Desconocido	Desconocido	Cordillera Galeras.	Cordillera Galeras. 0°497''' 77°322''' -8.28333,-82.3667 SW 1560 1560		1560	1560					2008-04-03T00:00:00	2008-04-03T00:00:00					J. Homeier		0			
QCA162037	3618	Plantae	Tracheophyta	Magnoliopsida	Ericales	Sapotaceae	Pouteria	cuspidata		Ecuador	Napo	Desconocido	Desconocido	Cordillera Galeras.	Cordillera Galeras. 0°497''' 77°322''' -8.28333,-82.3667 SW 1560 1560		1560	1560					2008-04-02T00:00:00	2008-04-02T00:00:00					J. Homeier		0			
QCA162039	3639	Plantae	Tracheophyta	Magnoliopsida	Ericales	Sapotaceae	Pouteria	Indeterminado		Ecuador	Napo	Desconocido	Desconocido	Cordillera Galeras.	Cordillera Galeras. 0°497''' 77°322''' -8.28333,-82.3667 SW 1560 1560		1560	1560					2008-04-03T00:00:00	2008-04-03T00:00:00					J. Homeier		0			
QCA162041	2320	Plantae	Tracheophyta	Magnoliopsida	Ericales	Sapotaceae	Pouteria	Indeterminado		Ecuador	Napo	Desconocido	Desconocido	Cordillera Galeras.	Cordillera Galeras. 0°497''' 77°323''' -8.28333,-82.3833 SW 1560 1560		1560	1560					2006-04-14T00:00:00	2006-04-14T00:00:00					J. Homeier		0			
QCA162316	3588	Plantae	Tracheophyta	Magnoliopsida	Sapindales	Sapindaceae	Matayba	Indeterminado		Ecuador	Napo	Desconocido	Desconocido	Cordillera Galeras.	Cordillera Galeras. 0°498''' 77°323''' -8.3,-82.3833 SW 1600 		1600						2008-04-01T00:00:00	2008-04-01T00:00:00					J. Homeier		0			
QCA163649	3919	Plantae	Tracheophyta	Magnoliopsida	Santalales	Opiliaceae	Agonandra	peruviana		Ecuador	Napo	Desconocido	Desconocido	Area of the Selva Viva reserve.	Area of the Selva Viva reserve. 1°4'0'' 77°31'0'' -1.06667,-77.5167 SW 500 		500			-1.06667	-77.5167		2008-04-11T00:00:00	2008-04-11T00:00:00					J. Homeier		0			
QCA164630	2208	Plantae	Tracheophyta	Magnoliopsida	Sapindales	Rutaceae	Esenbeckia	amazonica		Ecuador	Napo	Desconocido	Desconocido	Cordillera de Guacamayos, close to road Cosanga to Tena.	Cordillera de Guacamayos, close to road Cosanga to Tena. 0°40''' 77°48''' -0.666667,-77.8 SW 1500 		1500			-0.666667	-77.8		2006-03-31T00:00:00	2006-03-31T00:00:00					J. Homeier		0			
QCA164681	3612	Plantae	Tracheophyta	Magnoliopsida	Ericales	Symplocaceae	Symplocos	Indeterminado		Ecuador	Napo	Desconocido	Desconocido	Cordillera Galleras.	Cordillera Galleras. 0°49'8'' 77°32'3'' -0.818889,-77.5342 SW 1590 		1590			-0.818889	-77.5342		2008-04-02T00:00:00	2008-04-02T00:00:00					J. Homeier		0			
QCA165696	3723	Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Euphorbiaceae	Croton	pachypodus		Ecuador	Napo	Desconocido	Desconocido	Cordillera Galeras. Río Chiriyacu.	Cordillera Galeras. Río Chiriyacu. 0°50''' 77°34''' -0.833333,-77.5667 SW 1100 		1100			-0.833333	-77.5667		2008-04-05T00:00:00	2008-04-05T00:00:00					J. Homeier		0			
QCA165700	3602	Plantae	Tracheophyta	Magnoliopsida	Sapindales	Rutaceae	Zanthoxylum	melanostictum		Ecuador	Napo	Desconocido	Desconocido	Cordillera Galleras.	Cordillera Galleras. 0°49'0'' 77°32'0'' -0.816667,-77.5333 SW 1590 		1590			-0.816667	-77.5333		2008-04-02T00:00:00	2008-04-02T00:00:00					J. Homeier		0			
QCA166083	2310	Plantae	Tracheophyta	Magnoliopsida	Fabales	Polygalaceae	Monnina	Indeterminado		Ecuador	Napo	Desconocido	Desconocido	Galeras, Cordillera Galleras.	Galeras, Cordillera Galleras. 0°50''' 77°32''' -0.833333,-77.5333 SW 1700 		1700			-0.833333	-77.5333		2006-04-14T00:00:00	2006-04-14T00:00:00					J. Homeier		0			
QCA166084	2240	Plantae	Tracheophyta	Magnoliopsida	Fabales	Polygalaceae	Monnina	Indeterminado		Ecuador	Napo	Desconocido	Desconocido	Cordillera de Guacamayos, ca 6 km SE of Cosanga.	Cordillera de Guacamayos, ca 6 km SE of Cosanga. 0°38''' 77°50''' -0.633333,-77.8333 SW 2250 		2250			-0.633333	-77.8333		2006-04-01T00:00:00	2006-04-01T00:00:00					J. Homeier		0			
QCA166430	2304	Plantae	Tracheophyta	Magnoliopsida	Ericales	Symplocaceae	Symplocos	Indeterminado		Ecuador	Napo	Desconocido	Desconocido	Parque Nacional Sumaco Galeras, Cordillera Galleras.	Parque Nacional Sumaco Galeras, Cordillera Galleras. 0°50'0'' 77°32'0'' -0.833333,-77.5333 SW 1570 		1570			-0.833333	-77.5333		2006-04-14T00:00:00	2006-04-14T00:00:00					J. Homeier		0			
QCA167198	2232	Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Euphorbiaceae	Hieronyma	oblonga		Ecuador	Napo	Desconocido	Desconocido	Cordillera de los Guacamayos, ca 6 Km SE of Cosanga.	Cordillera de los Guacamayos, ca 6 Km SE of Cosanga. 0°38'0'' 77°50'0'' -0.633333,-77.8333 SW 1990 		1990			-0.633333	-77.8333		2006-04-01T00:00:00	2006-04-01T00:00:00					J. Homeier		0			
QCA168001	3951	Plantae	Tracheophyta	Magnoliopsida	Rosales	Ulmaceae	Ampelocera	edentula		Ecuador	Napo	Desconocido	Desconocido	Area of the Selva VIva Reserve.	Area of the Selva VIva Reserve. 1°4''' 77°31''' -1.06667,-77.5167 SW 500 		500			-1.06667	-77.5167		2008-04-11T00:00:00	2008-04-11T00:00:00					J. Homeier		0			
QCA168514	2354	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Swartzia	calophylla		Ecuador	Napo	Desconocido	Desconocido	Cordillera Galeras.	Cordillera Galeras. 0°49''' 77°35''' -0.816667,-77.5833 SW 1060 		1060			-0.816667	-77.5833		2006-04-16T00:00:00	2006-04-16T00:00:00					J. Homeier		0			
QCA169460	3898	Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Euphorbiaceae	Tetrorchidium	macrophyllum		Ecuador	Napo	Desconocido	Desconocido	Área de Selva Viva reserve.	Área de Selva Viva reserve. 1°4''' 77°31''' -1.06667,-77.5167 SW 510 		510			-1.06667	-77.5167		2008-04-11T00:00:00	2008-04-11T00:00:00					J. Homeier		0			
