numeroMuseo	numeroCampo	reino	filum	clase	orden	familia	genero	especie	continente	pais	provincia	canton	parroquia	localidad	localidadVerbatim	fuenteCoordenadas	altitudMax	altitudMin	datum	latitude	longitude	estadoDeterminacion	fechaInicioColeccion	fechaFinColeccion	fechaVerbatim	subespecie	variedad	forma	colector	fechaIdentificacion	tejidos	tipo	cita
QCA132547	3915	Plantae	Tracheophyta	Magnoliopsida	Gentianales	Rubiaceae	Coussarea	Indeterminado		Ecuador	Napo	Desconocido	Desconocido	Area of the Selva Viva reserve.	Area of the Selva Viva reserve. 1°4''' 77°31''' -1.06667,-77.5167 SW 510 		510			-1.06667	-77.5167		2008-04-11T00:00:00	2008-04-11T00:00:00					J. Homeier		0			
QCA132554	3593	Plantae	Tracheophyta	Magnoliopsida	Myrtales	Melastomataceae	Blakea	portentosa		Ecuador	Napo	Desconocido	Desconocido	Cordillera Galeras.	Cordillera Galeras. 0°50''' 77°32''' -0.833333,-77.5333 SW 1600 		1600			-0.833333	-77.5333		2008-04-01T00:00:00	2008-04-01T00:00:00					J. Homeier		0			
QCA132555	3591	Plantae	Tracheophyta	Magnoliopsida	Laurales	Lauraceae	Licaria	cannella		Ecuador	Napo	Desconocido	Desconocido	Cordillera Galeras.	Cordillera Galeras. 0°50''' 77°32''' -0.833333,-77.5333 SW 1600 		1600			-0.833333	-77.5333		2008-04-01T00:00:00	2008-04-01T00:00:00					J. Homeier		0			
QCA133244	2300	Plantae	Tracheophyta	Magnoliopsida	Sapindales	Meliaceae	Guarea	pubescens		Ecuador	Napo	Desconocido	Desconocido	Cordillera Galeras.	Cordillera Galeras. 0°50''' 77°32''' -0.833333,-77.5333 SW 1570 		1570			-0.833333	-77.5333		2006-04-14T00:00:00	2006-04-14T00:00:00					J. Homeier		0			
QCA133776	3914	Plantae	Tracheophyta	Magnoliopsida	Sapindales	Meliaceae	Guarea	kunthiana		Ecuador	Napo	Desconocido	Desconocido	Area of the Selva Viva reserve.	Area of the Selva Viva reserve. 1°4'0'' 77°31'0'' -1.06667,-77.5167 SW 510 		510			-1.06667	-77.5167		2008-04-11T00:00:00	2008-04-11T00:00:00					J. Homeier		0			
QCA133970	2278	Plantae	Tracheophyta	Liliopsida	Asparagales	Orchidaceae	Stelis	Indeterminado		Ecuador	Napo	Desconocido	Desconocido	Galeras, southern slope of Sumaco volcano.	Galeras, southern slope of Sumaco volcano. 0°35''' 77°35''' -0.583333,-77.5833 SW 2250 		2250			-0.583333	-77.5833		2006-04-08T00:00:00	2006-04-08T00:00:00					J. Homeier		0			
QCA133971	2279	Plantae	Tracheophyta	Liliopsida	Asparagales	Orchidaceae	Stelis	Indeterminado		Ecuador	Napo	Desconocido	Desconocido	Galeras, southern slope of Sumaco volcano.	Galeras, southern slope of Sumaco volcano. 0°35''' 77°35''' -0.583333,-77.5833 SW 2250 		2250			-0.583333	-77.5833		2006-04-08T00:00:00	2006-04-08T00:00:00					J. Homeier		0			
QCA134179	2311	Plantae	Tracheophyta	Magnoliopsida	Rosales	Moraceae	Helicostylis	tovarensis		Ecuador	Napo	Desconocido	Desconocido	Cordillera Galeras.	Cordillera Galeras. 0°49''' 77°32''' -0.816667,-77.5333 SW 1570 		1570			-0.816667	-77.5333		2006-04-14T00:00:00	2006-04-14T00:00:00					J. Homeier		0			
QCA134757	2308	Plantae	Tracheophyta	Liliopsida	Asparagales	Orchidaceae	Octomeria	graminifolia		Ecuador	Napo	Desconocido	Desconocido	Galeras, Cordillera Galleras.	Galeras, Cordillera Galleras. 0°50''' 77°32''' -0.833333,-77.5333 SW 1490 		1490			-0.833333	-77.5333		2006-04-14T00:00:00	2006-04-14T00:00:00					J. Homeier		0			
QCA135577	2334	Plantae	Tracheophyta	Magnoliopsida	Sapindales	Meliaceae	Guarea	silvatica		Ecuador	Napo	Desconocido	Desconocido	Coordillera Galeras.	Coordillera Galeras. 0°50''' 77°34''' -0.833333,-77.5667 SW 1160 		1160			-0.833333	-77.5667		2006-04-15T00:00:00	2006-04-15T00:00:00					J. Homeier		0			
