Site,Plot,PlotID,Year,Sample_ID,old_treeID,new_TreeID,family,genus,species,Type,C_percent,d13C_permil,N_percent,Cb_percent,d15N_permil,bulk_d13C_permil,herbarium_id,source_file,Elevation_m
Sumaco,,Sumaco_<NA>,2006,p12-304,304.0,3666.0,Sapindaceae,Allophylus,floribundus,,,,,,,,1833.0,Sumaco_cellulose.xlsx,
Sumaco,12.0,Sumaco_12,2006,p12-305,305.0,3669.0,Sapindaceae,Allophylus,floribundus,,43.524648630114,-28.0622478812585,,,,,,Sumaco_cellulose.xlsx,2000.0
Sumaco,12.0,Sumaco_12,2006,p12-309,309.0,3661.0,Euphorbiaceae,Alchornea,cf latifolia,,44.374194365733,-30.4514427323259,,,,,,Sumaco_cellulose.xlsx,2000.0
Sumaco,13.0,Sumaco_13,2006,p13-310,310.0,,Euphorbiaceae,Sapium,stylare,,44.2817602233826,-27.348488298905,,,,,3369.0,Sumaco_cellulose.xlsx,2000.0
Sumaco,13.0,Sumaco_13,2006,p13-312,312.0,,Clusiaceae,Chrysochlamys,membranacea,,43.4898544018017,-27.3696399240427,,,,,,Sumaco_cellulose.xlsx,2000.0
Sumaco,13.0,Sumaco_13,2006,p13-314,314.0,,Fabaceae,Erythrina,edulis,,44.3759437959195,-27.8624718850356,,,,,,Sumaco_cellulose.xlsx,2000.0
Sumaco,,Sumaco_<NA>,2006,p13-315,315.0,,Fabaceae,Dussia,tessmannii,,,,,,,,3367.0,Sumaco_cellulose.xlsx,
Sumaco,13.0,Sumaco_13,2006,p13-318,318.0,,Melastomataceae,Blakea,subconnata,,42.9349665773359,-29.0016631278379,,,,,3368.0,Sumaco_cellulose.xlsx,2000.0
Sumaco,13.0,Sumaco_13,2006,p13-320,320.0,3715.0,Phyllanthaceae,Hyeronima,asperifolia,,42.66,-25.52,,,,,,Sumaco_cellulose.xlsx,2000.0
Sumaco,13.0,Sumaco_13,2006,p13-329,329.0,,Fabaceae,Erythrina,edulis,,45.5355671369228,-26.1346309867447,,,,,,Sumaco_cellulose.xlsx,2000.0
Sumaco,13.0,Sumaco_13,2006,p13-331,331.0,,Clusiaceae,Chrysochlamys,membranacea,,45.0144435812329,-28.9309283713132,,,,,,Sumaco_cellulose.xlsx,2000.0
Sumaco,13.0,Sumaco_13,2006,p13-332,332.0,,Melastomataceae,Miconia,cf crebribullata,,44.8018970593315,-28.0134713537845,,,,,,Sumaco_cellulose.xlsx,2000.0
Sumaco,13.0,Sumaco_13,2006,p13-334,334.0,,Euphorbiaceae,Alchornea,cf latifolia,,41.969314699153,-28.7092371183263,,,,,,Sumaco_cellulose.xlsx,2000.0
Sumaco,9.0,Sumaco_9,2025,p09-3730,233.0,3730.0,Metteniusaceae,Calatola,costaricensis,,46.64,-30.84,,,,,,Sumaco_cellulose.xlsx,2000.0
Sumaco,9.0,Sumaco_9,2025,p09-3733,235.0,3733.0,Metteniusaceae,Calatola,costaricensis,,47.83,-30.5,,,,,,Sumaco_cellulose.xlsx,2000.0
Sumaco,9.0,Sumaco_9,2025,p09-3735,,3735.0,Sapindaceae,Allophylus,sp,,45.85,-28.06,,,,,,Sumaco_cellulose.xlsx,2000.0
Sumaco,9.0,Sumaco_9,2025,p09-3732,,3732.0,Clusiaceae,Chrysochlamys,membranacea,,44.13,-28.99,,,,,,Sumaco_cellulose.xlsx,2000.0
Sumaco,9.0,Sumaco_9,2025,p09-3729,,3729.0,Moraceae,Ficus,quijosana,,46.3416317061715,-32.4044783932959,,,,,,Sumaco_cellulose.xlsx,2000.0
